EC,rxn_ID,reaction
1.14.99.-,rxn24778,(1) cpd24373[0] <=> (1) cpd25028[0]
1.14.99.-,rxn24779,(1) cpd25028[0] <=> (1) cpd25030[0]
1.14.99.-,rxn28426,(1) cpd25764[0] <=> (1) cpd25765[0]
1.14.99.-,rxn28427,(1) cpd25765[0] <=> (1) cpd25762[0]
1.14.99.-,rxn28420,(1) cpd25046[0] <=> (1) cpd00197[0]
1.14.99.-,rxn28421,(1) cpd22503[0] <=> (1) cpd25046[0]
1.10.3.-,rxn28422,(2) cpd07725[0] <=> (3) cpd11640[0] + (1) cpd12695[0]
1.10.3.-,rxn28423,(1) cpd07725[0] + (3) cpd11640[0] + (1) cpd12695[0] <=> (1) cpd28798[0]
1.14.99.-,rxn24770,(1) cpd25028[0] <=> (1) cpd24374[0]
1.14.99.-,rxn24771,(1) cpd24374[0] <=> (1) cpd25029[0]
1.14.99.-,rxn24772,(1) cpd24374[0] <=> (1) cpd25029[0]
1.14.99.-,rxn24773,(1) cpd25030[0] <=> (1) cpd25031[0]
1.14.99.-,rxn24774,(1) cpd25030[0] <=> (1) cpd25031[0]
1.14.99.-,rxn24775,(1) cpd25031[0] <=> (1) cpd24375[0]
1.14.99.-,rxn24776,(1) cpd25031[0] <=> (1) cpd24375[0]
1.14.99.-,rxn24777,(1) cpd24373[0] <=> (1) cpd25028[0]
2.4.1.25,rxn23748,(1) cpd19001[0] + (1) cpd27427[0] <=> (2) cpd28176[0]
3.2.1.80,rxn23749,(1) cpd00001[0] + (1) cpd02298[0] <=> (1) cpd00076[0] + (1) cpd27040[0]
2.4.1.10,rxn23740,(1) cpd00076[0] + (1) cpd02298[0] <=> (1) cpd00190[0] + (1) cpd22431[0]
2.4.1.10,rxn11099,(1) cpd01112[1] <=> (1) cpd00108[0]
3.2.1.1,rxn23742,(1) cpd00001[0] + (1) cpd28193[0] <=> (1) cpd27398[0]
3.2.1.41,rxn23743,(1) cpd00001[0] + (1) cpd27398[0] <=> (1) cpd27427[0]
3.2.1.1,rxn23744,(1) cpd00001[0] + (1) cpd27427[0] <=> (1) cpd28176[0]
3.2.1.2,rxn23745,(1) cpd00001[0] <=> (1) cpd00665[0]
3.2.1.2,rxn23746,(1) cpd00001[0] <=> (1) cpd00665[0]
2.4.1.25,rxn23747,(1) cpd19001[0] + (1) cpd27427[0] <=> (2) cpd28176[0]
2.4.1.25,rxn09568,(0.5) cpd00007[0] + (1) cpd15203[0] <=> (1) cpd15198[0]
2.4.1.25,rxn09569,(1) cpd15208[0] <=> (1) cpd00011[0] + (1) cpd15203[0]
2.4.1.25,rxn09560,(1) cpd00001[0] + (1) cpd00698[0] <=> (1) cpd00114[0]
2.4.1.25,rxn09561,(1) cpd00001[0] + (1) cpd00713[0] <=> (1) cpd00294[0]
2.4.1.25,rxn09562,(1) cpd00115[0] + (1) cpd00126[0] <=> (1) cpd00031[0] + (1) cpd00177[0]
2.4.1.25,rxn09563,(1) cpd00282[0] + (1) cpd15290[1] <=> (1) cpd00247[0] + (1) cpd15291[1]
2.4.1.25,rxn09564,(1) cpd00031[0] + (1) cpd00038[0] <=> (1) cpd00009[0] + (1) cpd00925[0]
2.4.1.25,rxn09565,(1) cpd00008[0] + (1) cpd00038[0] <=> (1) cpd00009[0] + (1) cpd15218[0]
2.4.1.25,rxn09566,(2) cpd00001[0] + (0.5) cpd00007[0] + (1) cpd00013[0] + (1) cpd00215[0] <=> (2) cpd00025[0] + (1) cpd00419[0]
1.2.1.1,rxn09567,(1) cpd00003[0] + (1) cpd00042[0] + (1) cpd00055[0] <=> (1) cpd00004[0] + (1) cpd00759[0]
